reference_designator,method,stream
RS01SBPS-SF01A-4A-NUTNRA101,streamed,nutnr_a_sample
RS01SBPS-SF01A-4B-VELPTD102,streamed,velpt_velocity_data
RS01SBPS-SF01A-4F-PCO2WA101,streamed,pco2w_a_sami_data_record
RS01SBPS-SF01A-4F-PCO2WA101,streamed,pco2w_a_sami_data_record_cal
RS01SLBS-LJ01A-05-HPIESA101,streamed,echo_sounding
RS01SLBS-LJ01A-05-HPIESA101,streamed,horizontal_electric_field
RS01SLBS-LJ01A-05-HPIESA101,streamed,hpies_data_header
RS01SLBS-LJ01A-10-ADCPTE101,streamed,adcp_velocity_beam
RS01SLBS-LJ01A-11-OPTAAC103,streamed,optaa_sample
RS01SLBS-LJ01A-12-CTDPFB101,streamed,ctdpf_optode_sample
RS01SLBS-MJ01A-06-PRESTA101,streamed,prest_real_time
RS01SLBS-MJ01A-12-VEL3DB101,streamed,vel3d_b_sample
RS01SUM1-LJ01B-09-PRESTB102,streamed,prest_real_time
RS01SUM1-LJ01B-12-VEL3DB104,streamed,vel3d_b_sample
RS01SUM2-MJ01B-12-ADCPSK101,streamed,adcp_velocity_beam
RS03ASHS-MJ03B-07-TMPSFA301,streamed,tmpsf_sample
RS03ASHS-MJ03B-09-BOTPTA304,streamed,botpt_heat_sample
RS03ASHS-MJ03B-09-BOTPTA304,streamed,botpt_iris_sample
RS03ASHS-MJ03B-09-BOTPTA304,streamed,botpt_lily_sample
RS03ASHS-MJ03B-09-BOTPTA304,streamed,botpt_nano_sample
RS03ASHS-MJ03B-09-BOTPTA304,streamed,botpt_nano_sample_15s
RS03ASHS-MJ03B-09-BOTPTA304,streamed,botpt_nano_sample_24hr
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample
RS03AXBS-LJ03A-05-HPIESA301,streamed,echo_sounding
RS03AXBS-LJ03A-05-HPIESA301,streamed,horizontal_electric_field
RS03AXBS-LJ03A-05-HPIESA301,streamed,hpies_data_header
RS03AXBS-LJ03A-10-ADCPTE303,streamed,adcp_velocity_beam
RS03AXBS-LJ03A-11-OPTAAC303,streamed,optaa_sample
RS03AXBS-LJ03A-12-CTDPFB301,streamed,ctdpf_optode_sample
RS03AXBS-MJ03A-06-PRESTA301,streamed,prest_real_time
RS03AXBS-MJ03A-12-VEL3DB301,streamed,vel3d_b_sample
RS03AXPD-DP03A-01-CTDPFL304,recovered_inst,dpc_ctd_instrument_recovered
RS03AXPD-DP03A-02-VEL3DA303,recovered_inst,dpc_acm_instrument_recovered
RS03AXPD-DP03A-03-FLCDRA302,recovered_inst,dpc_flcdrtd_instrument_recovered
RS03AXPD-DP03A-03-FLNTUA302,recovered_inst,dpc_flnturtd_instrument_recovered
RS03AXPD-DP03A-06-DOSTAD304,recovered_inst,dpc_optode_instrument_recovered
RS03AXPS-PC03A-05-ADCPTD302,streamed,adcp_velocity_beam
RS03AXPS-PC03A-06-VADCPA301,streamed,vadcp_velocity_beam
RS03AXPS-PC03A-06-VADCPA301,streamed,vadcp_velocity_beam_5
RS03AXPS-PC03A-4A-CTDPFA303,streamed,ctdpf_optode_sample
RS03AXPS-PC03A-4B-PHSENA302,streamed,phsen_data_record
RS03AXPS-PC03A-4C-FLORDD303,streamed,flort_d_data_record
RS03AXPS-SF03A-2A-CTDPFA302,streamed,ctdpf_sbe43_sample
RS03AXPS-SF03A-2D-PHSENA301,streamed,phsen_data_record
RS03AXPS-SF03A-3A-FLORTD301,streamed,flort_d_data_record
RS03AXPS-SF03A-3B-OPTAAD301,streamed,optaa_sample
RS03AXPS-SF03A-3C-PARADA301,streamed,parad_sa_sample
RS03AXPS-SF03A-3D-SPKIRA301,streamed,spkir_data_record
RS03AXPS-SF03A-4A-NUTNRA301,streamed,nutnr_a_dark_sample
RS03AXPS-SF03A-4A-NUTNRA301,streamed,nutnr_a_sample
RS03AXPS-SF03A-4B-VELPTD302,streamed,velpt_velocity_data
RS03AXPS-SF03A-4F-PCO2WA301,streamed,pco2w_a_sami_data_record
RS03AXPS-SF03A-4F-PCO2WA301,streamed,pco2w_a_sami_data_record_cal
RS03CCAL-MJ03F-05-BOTPTA301,streamed,botpt_heat_sample
RS03CCAL-MJ03F-05-BOTPTA301,streamed,botpt_iris_sample
RS03CCAL-MJ03F-05-BOTPTA301,streamed,botpt_lily_sample
RS03CCAL-MJ03F-05-BOTPTA301,streamed,botpt_nano_sample
RS03CCAL-MJ03F-05-BOTPTA301,streamed,botpt_nano_sample_15s
RS03CCAL-MJ03F-05-BOTPTA301,streamed,botpt_nano_sample_24hr
RS03ECAL-MJ03E-06-BOTPTA302,streamed,botpt_heat_sample
RS03ECAL-MJ03E-06-BOTPTA302,streamed,botpt_iris_sample
RS03ECAL-MJ03E-06-BOTPTA302,streamed,botpt_lily_sample
RS03ECAL-MJ03E-06-BOTPTA302,streamed,botpt_nano_sample
RS03ECAL-MJ03E-06-BOTPTA302,streamed,botpt_nano_sample_15s
RS03ECAL-MJ03E-06-BOTPTA302,streamed,botpt_nano_sample_24hr
RS03INT1-MJ03C-07-D1000A301,streamed,d1000_sample
RS03INT1-MJ03C-09-THSPHA301,streamed,thsph_sample
RS03INT1-MJ03C-10-TRHPHA301,streamed,trhph_sample
RS03INT2-MJ03D-06-BOTPTA303,streamed,botpt_heat_sample
RS03INT2-MJ03D-06-BOTPTA303,streamed,botpt_iris_sample
RS03INT2-MJ03D-06-BOTPTA303,streamed,botpt_lily_sample
RS03INT2-MJ03D-06-BOTPTA303,streamed,botpt_nano_sample
RS03INT2-MJ03D-06-BOTPTA303,streamed,botpt_nano_sample_15s
RS03INT2-MJ03D-06-BOTPTA303,streamed,botpt_nano_sample_24hr
RS03INT2-MJ03D-12-VEL3DB304,streamed,vel3d_b_sample
