Array,CUID,CTD_CruiseName,CTD_CruiseLeg,Notes,filepath_primary,Quick_Look_Report,Cruise_Report,filepath_water_sampling,CTD_log_filename,chla_filename,nutrients_filename,DIC_TA_pH_filename
Cabled_Array,,Cabled-1,,,/Volumes/webdav/OOI/Cabled Array/Cruise Data/Cabled-1_TN-221_2008-7-22/,missing,Cabled-1_TN-221_Insite08_Cruise_Report_2008.pdf,,,,,
Cabled_Array,,Cabled-2,,,/Volumes/webdav/OOI/Cabled Array/Cruise Data/Cabled-2_TN-252_2010-7-26/,missing,Cabled-2_TN-252_Enlighten10_Cruise_Report_2010.pdf,,,,,
Cabled_Array,,Cabled-3,,,/Volumes/webdav/OOI/Cabled Array/Cruise Data/Cabled-3_TN-268_2011-8-11/,missing,missing,,,,,
Cabled_Array,TN-299,Cabled-4,,,/Volumes/webdav/OOI/Cabled Array/Cruise Data/Cabled-4_TN-299_2013-06-30/,missing,missing,,,,,
Cabled_Array,TN-313,Cabled-5,,,/Volumes/webdav/OOI/Cabled Array/Cruise Data/Cabled-5_TN-313_2014-7-13/,missing,Cabledl_5_TN-313_VISIONS14_Cruise_Report.pdf,,,,,
Cabled_Array,TN-326,Cabled-6,,,/Volumes/webdav/OOI/Cabled Array/Cruise Data/Cabled-6_TN-326_2015-7-04/,missing,4322-75637_Cabled_Array_VISIONS16_Cruise-Report_Final.pdf,,,,,
Cabled_Array,SKQ201610S,Cabled-7,,,/Volumes/webdav/OOI/Cabled Array/Cruise Data/Cabled-7_SKQW201610S_2016-07-11/,missing,missing,,,,,
Cabled_Array,RR1713,Cabled-8,Leg1,,/Volumes/webdav/OOI/Cabled Array/Cruise Data/Cabled-8_RR1713-RR1717_2017-07-27/,missing,missing,,,,,
Cabled_Array,RR1714,Cabled-8,Leg2,,/Volumes/webdav/OOI/Cabled Array/Cruise Data/Cabled-8_RR1713-RR1717_2017-07-27/,missing,missing,,,,,
Cabled_Array,RR1715,Cabled-8,Leg3,,/Volumes/webdav/OOI/Cabled Array/Cruise Data/Cabled-8_RR1713-RR1717_2017-07-27/,missing,missing,,,,,
Cabled_Array,RR1717,Cabled-8,Leg4,,/Volumes/webdav/OOI/Cabled Array/Cruise Data/Cabled-8_RR1713-RR1717_2017-07-27/,missing,missing,,,,,
Coastal_Endurance,OC1404B,Endurance-01,,,/Volumes/webdav/OOI/Coastal Endurance Array/Cruise Data/Endurance-01_OC_2014-04/,8101-00093_Quick_Look_Report.pdf,8203-00003_Coastal_Endurance_1_Deployment_Cruise_Report.pdf,,,,,
Coastal_Endurance,OC1410A,Endurance-02,,,/Volumes/webdav/OOI/Coastal Endurance Array/Cruise Data/Endurance-02_OC_2014-10/,missing,missing,,,,,
Coastal_Endurance,OC1503D,Endurance-03,,,/Volumes/webdav/OOI/Coastal Endurance Array/Cruise Data/Endurance-03_OC-1503D_2015-04/,missing,8203-00005_April_2015_Cruise_Report_2015-02-02_ver_1-02.pdf,,,,,
Coastal_Endurance,PS1506A,Endurance-03b,,,/Volumes/webdav/OOI/Coastal Endurance Array/Cruise Data/Endurance-03b_PS-1506A_2015-06/,missing,8203-00009_June_2015_Cruise_Report_2016-04-12_ver_1-00.pdf,,,,,
Coastal_Endurance,TN-330,Endurance-04a,,,/Volumes/webdav/OOI/Coastal Endurance Array/Cruise Data/Endurance-04a_TH-330_2015-09/,missing,8203-00007_September_2015_Cruise_Report.pdf,,,,,
Coastal_Endurance,OC1510A,Endurance-04b,,,/Volumes/webdav/OOI/Coastal Endurance Array/Cruise Data/Endurance-04b_OC-1510A_2015-10/,missing,8203-00011_October_2015_Cruise_Report_2016-02-15_ver_1-01.pdf,,,,,
Coastal_Endurance,TN-342,Endurance-05,,,/Volumes/webdav/OOI/Coastal Endurance Array/Cruise Data/Endurance-05_TN-342_2016_05/,missing,8203-00012_Spring_2016_TN342_Cruise_Report_2016-08-02_ver_1-00.pdf,,,,,
Coastal_Endurance,AT37-03,Endurance-06,,,/Volumes/webdav/OOI/Coastal Endurance Array/Cruise Data/Endurance-06_AT37-03_2016-09/,missing,missing,,,,,
Coastal_Endurance,SKQ201704S,Endurance-07,,,/Volumes/webdav/OOI/Coastal Endurance Array/Cruise Data/Endurance-07_SKQ201704S_2017-04/,8202-00014_Quick-Look_Endurance7.docx,8203-00014_Spring_2017_Cruise_Report_2017-08-17_ver_1-00.docx,,,,,
Coastal_Endurance,SKQ201715S,Endurance-08,,,/Volumes/webdav/OOI/Coastal Endurance Array/Cruise Data/Endurance-08_SKQ201715S_2017-10/,8202-00015_Quick-Look_Endurance8.pdf,8203-00015_Fall_2017_Cruise_Report_2017-12-22_ver_1-00.pdf,,,,,
Coastal_Endurance,SKQ201808S,Endurance-09,,,/Volumes/webdav/OOI/Coastal Endurance Array/Cruise Data/Endurance-09_SKQ201808S_2018-03/,8202-00016_Quick-Look_Endurance9.pdf,missing,,,,,
Coastal_Endurance,EK-1503,,,,,,,,,,,
Coastal_Endurance,EK-1506,,,,,,,,,,,
Coastal_Endurance,EK-1507,,,,,,,,,,,
Coastal_Endurance,EK-1508,,,,,,,,,,,
Coastal_Endurance,EK-1608,,,,,,,,,,,
Coastal_Endurance,EK-1701,,,,/Volumes/webdav/OOI/Coastal Endurance Array/Cruise Data/2017_01B_Small_Boat_Cruise/,8212-00002-Small_Boat_Quick-look.doc,,,,,,
Coastal_Endurance,JR-1607,,,,,,,,,,,
Coastal_Endurance,ML-1507,,,,,,,,,,,
Coastal_Endurance,ML-1707,,,,,,,,,,,
Coastal_Endurance,ML-1706A,,,,/Volumes/webdav/OOI/Coastal Endurance Array/Cruise Data/2017_06A_Small_Boat Cruise/,8212-00010_Small_Boat_Quick-Look-2017-06-27.docx,,,,,,
